generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_earth  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue        9999999.0000
       weighted_mean      9.7827218E+05 mgal
            maxvalue      9.7879470E+05 mgal
            minvalue      9.7784516E+05 mgal
         signal_wrms      1.9344986E+02 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_earth
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           323.0000     -6.3000     280.00   978028.913617196726
           323.1000     -6.3000     376.00   978010.252024118672
           323.2000     -6.3000     257.00   978030.903596616816
           323.3000     -6.3000     275.00   978032.697050402639
           323.4000     -6.3000     505.00   977972.506519859773
           323.5000     -6.3000     350.00   978019.835247415816
           323.6000     -6.3000     421.00   978000.395686882897
           323.7000     -6.3000     635.00   977947.106903331121
           323.8000     -6.3000     396.00   978014.590378545807
           323.9000     -6.3000     308.00   978022.891042431467
           324.0000     -6.3000     215.00   978044.522166629671
           324.1000     -6.3000     185.00   978055.333338611410
           324.2000     -6.3000     200.00   978052.173461554339
           324.3000     -6.3000     167.00   978067.152920749504
           324.4000     -6.3000     115.00   978081.805546133895
           324.5000     -6.3000      88.00   978096.091272979742
           324.6000     -6.3000      81.00   978101.535256019561
           324.7000     -6.3000      50.00   978107.914185178233
           324.8000     -6.3000      95.00   978085.141199986218
           324.9000     -6.3000      44.00   978100.482520909514
           325.0000     -6.3000       0.00   978125.145446763840
           325.1000     -6.3000       0.00   978159.195502974675
           325.2000     -6.3000       0.00   978159.039123805822
           325.3000     -6.3000       0.00   978103.031504425686
           325.4000     -6.3000       0.00   978066.343555996777
           325.5000     -6.3000       0.00   978061.114042971050
           325.6000     -6.3000       0.00   978081.855768527254
           325.7000     -6.3000       0.00   978118.343186016427
           325.8000     -6.3000       0.00   978099.630287983338
           325.9000     -6.3000       0.00   978069.575966016389
           326.0000     -6.3000       0.00   978059.055034656893
           326.1000     -6.3000       0.00   978053.211593841203
           326.2000     -6.3000       0.00   978058.755638990202
           326.3000     -6.3000       0.00   978070.524174021673
           326.4000     -6.3000       0.00   978074.812607469852
           326.5000     -6.3000       0.00   978078.807909422787
           326.6000     -6.3000       0.00   978082.166137360968
           326.7000     -6.3000       0.00   978085.367090093670
           326.8000     -6.3000       0.00   978097.578533278313
           326.9000     -6.3000       0.00   978095.077765945578
           327.0000     -6.3000       0.00   978095.597241587937
           327.1000     -6.3000       0.00   978092.649523941102
           327.2000     -6.3000       0.00   978096.058918547234
           327.3000     -6.3000       0.00   978095.567388784955
           327.4000     -6.3000       0.00   978091.552847632789
           327.5000     -6.3000       0.00   978095.526259832899
           327.6000     -6.3000       0.00   978092.522008346044
           327.7000     -6.3000       0.00   978092.066976626753
           327.8000     -6.3000       0.00   978094.282190854428
           327.9000     -6.3000       0.00   978090.396269695368
           328.0000     -6.3000       0.00   978091.344679064699
           328.1000     -6.3000       0.00   978089.727274641395
           328.2000     -6.3000       0.00   978089.668080282630
           328.3000     -6.3000       0.00   978088.702926648548
           328.4000     -6.3000       0.00   978084.570751288091
           328.5000     -6.3000       0.00   978088.293645277270
           328.6000     -6.3000       0.00   978083.608453843975
           328.7000     -6.3000       0.00   978086.947628606693
           328.8000     -6.3000       0.00   978088.133233460481
           328.9000     -6.3000       0.00   978084.202175063430
           329.0000     -6.3000       0.00   978083.124276836286
           319.0000     -6.4000     690.00   977903.725873899530
           319.1000     -6.4000     614.00   977927.135942862369
