generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue           9999.0000
       weighted_mean     -6.3902939E+00 mgal
            maxvalue      2.7325794E+02 mgal
            minvalue     -1.2119740E+02 mgal
         signal_wrms      2.8036039E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           322.2000     -6.1000     208.00       10.578446807408
           322.3000     -6.1000     206.00       14.319503922522
           322.4000     -6.1000     206.00       14.808881253359
           322.5000     -6.1000     192.00        2.331157359059
           322.6000     -6.1000     170.00        0.815156448297
           322.7000     -6.1000     162.00        1.340047397314
           322.8000     -6.1000     193.00       14.975863292399
           322.9000     -6.1000     109.00        3.142134863943
           323.0000     -6.1000     107.00       -2.372291037389
           323.1000     -6.1000     329.00       13.536692697613
           323.2000     -6.1000     390.00       38.177016650209
           323.3000     -6.1000     645.00       68.002779412524
           323.4000     -6.1000     705.00       64.207034464125
           323.5000     -6.1000     577.00       59.383809461444
           323.6000     -6.1000     462.00       47.147962212613
           323.7000     -6.1000     529.00       33.127601113847
           323.8000     -6.1000     484.00       38.010185611626
           323.9000     -6.1000     416.00       28.061860022355
           324.0000     -6.1000     335.00       30.555719538228
           324.1000     -6.1000     183.00       28.061456731088
           324.2000     -6.1000     186.00       32.728043868069
           324.3000     -6.1000     133.00       29.744559949485
           324.4000     -6.1000     128.00       32.033724888869
           324.5000     -6.1000     104.00       33.661938185325
           324.6000     -6.1000      62.00       32.366665780792
           324.7000     -6.1000      36.00       27.666282127825
           324.8000     -6.1000       9.00       24.136763524041
           324.9000     -6.1000       0.00       38.648638281913
           325.0000     -6.1000       0.00       64.459046440213
           325.1000     -6.1000       0.00       91.812348196818
           325.2000     -6.1000       0.00       60.894023095237
           325.3000     -6.1000       0.00       11.801305805115
           325.4000     -6.1000       0.00      -10.180305285878
           325.5000     -6.1000       0.00      -15.487915550061
           325.6000     -6.1000       0.00      -22.076055353715
           325.7000     -6.1000       0.00      -32.543977432731
           325.8000     -6.1000       0.00      -30.842190573566
           325.9000     -6.1000       0.00      -35.176127589587
           326.0000     -6.1000       0.00      -29.557698514893
           326.1000     -6.1000       0.00      -20.098001903612
           326.2000     -6.1000       0.00      -15.770503870804
           326.3000     -6.1000       0.00       -7.448962354140
           326.4000     -6.1000       0.00       -6.526353114467
           326.5000     -6.1000       0.00       -1.931835275393
           326.6000     -6.1000       0.00        0.974596740377
           326.7000     -6.1000       0.00        1.561242048886
           326.8000     -6.1000       0.00       -1.946096394079
           326.9000     -6.1000       0.00        1.213994761073
           327.0000     -6.1000       0.00       -4.111860993028
           327.1000     -6.1000       0.00       -6.031728429967
           327.2000     -6.1000       0.00       -2.660917135522
           327.3000     -6.1000       0.00       -5.253676953210
           327.4000     -6.1000       0.00       -3.155964883916
           327.5000     -6.1000       0.00       -5.775450272161
           327.6000     -6.1000       0.00       -3.552488352554
           327.7000     -6.1000       0.00       -8.543608672085
           327.8000     -6.1000       0.00       -8.215127468958
           327.9000     -6.1000       0.00       -5.557263739142
           328.0000     -6.1000       0.00       -9.367352608614
           328.1000     -6.1000       0.00       -9.495479535815
           328.2000     -6.1000       0.00      -14.806192643846
           328.3000     -6.1000       0.00      -17.511580384522
           328.4000     -6.1000       0.00      -12.476084100577
           328.5000     -6.1000       0.00      -13.570827612597
           328.6000     -6.1000       0.00      -15.769180415504
           328.7000     -6.1000       0.00      -13.419117973790
           328.8000     -6.1000       0.00      -12.045803728356
           328.9000     -6.1000       0.00      -11.246472063497
           329.0000     -6.1000       0.00       -8.398426516720
           319.0000     -6.2000     694.00       15.846653898244
           319.1000     -6.2000     658.00       30.503726417841
           319.2000     -6.2000     639.00       19.782620171860
           319.3000     -6.2000     484.00       -1.125066933128
           319.4000     -6.2000     502.00        6.136199596085
           319.5000     -6.2000     432.00        2.703146545180
           319.6000     -6.2000     424.00        5.271053970368
           319.7000     -6.2000     382.00        5.976155940601
           319.8000     -6.2000     402.00       11.182343009075
           319.9000     -6.2000     416.00       17.299340070309
           320.0000     -6.2000     416.00       10.902580874017
           320.1000     -6.2000     508.00       14.985733356276
           320.2000     -6.2000     526.00       13.129332925566
           320.3000     -6.2000     418.00        5.448816863840
           320.4000     -6.2000     323.00        6.058133974207
           320.5000     -6.2000     287.00       -3.029312979841
           320.6000     -6.2000     305.00      -15.173394942103
           320.7000     -6.2000     266.00      -20.990504646612
           320.8000     -6.2000     224.00      -25.190752657345
           320.9000     -6.2000     237.00      -23.010035310556
           321.0000     -6.2000     320.00      -16.531990698709
           321.1000     -6.2000     262.00      -11.434612309991
           321.2000     -6.2000     204.00       -7.681496363077
           321.3000     -6.2000     172.00       -7.077305443737
           321.4000     -6.2000     578.00       31.202666339958
           321.5000     -6.2000     677.00       58.740023108683
           321.6000     -6.2000     594.00       39.575309166651
           321.7000     -6.2000     305.00       20.177041508163
           321.8000     -6.2000     220.00       16.529503891327
           321.9000     -6.2000     223.00       12.429864705155
           322.0000     -6.2000     274.00       16.470223448550
           322.1000     -6.2000     375.00       20.749190496616
           322.2000     -6.2000     325.00       19.429356723499
           322.3000     -6.2000     233.00        6.257170979751
           322.4000     -6.2000     192.00        2.069724347287
           322.5000     -6.2000     182.00       -2.563315716131
           322.6000     -6.2000     157.00       -1.920186563176
           322.7000     -6.2000     143.00       -3.420443798241
           322.8000     -6.2000     127.00       -5.405229726918
           322.9000     -6.2000     152.00        0.872690008613
           323.0000     -6.2000     212.00       11.851774928573
           323.1000     -6.2000     339.00       19.239478038280
           323.2000     -6.2000     300.00       21.077500402988
           323.3000     -6.2000     354.00       36.044532139279
           323.4000     -6.2000     416.00       34.620864610702
           323.5000     -6.2000     364.00       25.029458688763
           323.6000     -6.2000     411.00       32.317926721959
           323.7000     -6.2000     477.00       43.195817803188
